id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0017511,2017511,17511 (1992 QN),17511,,,Y,N,17.3,,,,,,,,,,5.9902,,,,,X,,,,JPL 243,2459000.5,59000,20200531.0000000,J2000,0.3588380539986290,1.189978886700510,0.7629691786974430,9.582650846260750,355.9243690577130,202.3593541462580,235.8040998597120,1.616988594703570,0.7592681633142340,2459164.073169720000,20201110.5731697,474.1407810760650,1.29812671068053,0.132266,51.47395922,3.34635,5.253,3.9236E-08,1.2758E-09,4.6478E-08,4.0769E-06,1.8749E-05,2.102E-05,1.4981E-05,1.7336E-09,1.2211E-09,1.9922E-05,7.6251E-07,APO,Otto Matic,9656,1992-08-29,2019-02-05,1550,0,1,0,0.4009,,,,,
a0018106,2018106,18106 Blume (2000 NX3),18106,Blume,,Y,N,17.7,,,,,,,,,,,,,,,,,,,JPL 44,2459000.5,59000,20200531.0000000,J2000,0.5117181402357050,2.444819348059270,1.193760938058110,4.220098533917650,109.1998936424350,234.9077411931790,60.06195435701590,3.695877758060430,0.2578302757478560,2458767.548481090000,20191011.0484811,1396.267366025160,3.82277170711886,0.196707,76.55246319,1.73814,3.303,4.0354E-08,4.8373E-09,9.8685E-08,5.1703E-06,5.8048E-05,5.8807E-05,7.2929E-06,7.3127E-09,7.6521E-10,2.7626E-05,4.144E-06,AMO,Otto Matic,15465,1977-09-04,2020-01-07,374,,,0,0.52783,,,,,
a0018109,2018109,18109 (2000 NG11),18109,,,Y,N,17.1,,,,,,,,,,4.25,,,,,,,,,JPL 256,2459000.5,59000,20200531.0000000,J2000,0.3678565300427210,1.880708612263670,1.188877668134890,0.8079626029906240,59.52808168907580,319.2682384169970,226.2114197900530,2.572539556392440,0.3821393881629510,2459350.604135700000,20210516.1041357,942.0646265505870,2.57923237933083,0.191338,74.46300946,2.88892,3.885,2.7096E-08,2.0131E-09,5.1581E-08,2.2972E-06,0.00016801,0.00016806,2.4935E-06,2.7536E-09,6.1355E-10,6.6748E-06,1.5126E-06,AMO,Otto Matic,25065,1951-11-08,2020-06-23,1465,,,0,0.42935,,,,,
a0018172,2018172,18172 (2000 QL7),18172,,,Y,N,15.6,,,,,,,,,,,,,,,,,,,JPL 295,2459000.5,59000,20200531.0000000,J2000,0.5110952192013920,2.424721253618550,1.185457812998110,17.83312668169870,338.4606518502650,100.7802357412620,44.51535205112180,3.663984694239000,0.2610425751396520,2458829.970912830000,20191212.4709128,1379.085384088810,3.77573000434993,0.365032,142.05950344,2.07299,3.263,2.1578E-08,3.9752E-09,5.2275E-08,4.8279E-06,9.6147E-06,1.2771E-05,2.8201E-06,6.0069E-09,6.4195E-10,1.0853E-05,3.3914E-06,AMO,Otto Matic,15646,1977-07-21,2020-05-22,1871,,,0,0.3915,,,,,
a0018736,2018736,18736 (1998 NU),18736,,,Y,N,15.9,,,,,,,,,,2.4753,,,,,Sk,,,,JPL 264,2459000.5,59000,20200531.0000000,J2000,0.4887039236346670,2.353526787683670,1.203349012163370,2.807239137427610,297.4995005015410,222.8601177228690,122.0393885746760,3.503704563203970,0.2729765591575710,2458553.430885530000,20190310.9308855,1318.794555514190,3.61066271188004,0.215387,83.82215879,1.50188,3.383,2.5552E-08,4.9513E-09,6.0856E-08,2.8418E-06,5.5295E-05,5.5479E-05,1.7428E-06,7.3711E-09,8.6143E-10,6.7009E-06,4.1617E-06,AMO,Otto Matic,24196,1954-05-25,2020-08-22,1619,,,0,0.44339,,,,,
a0018882,2018882,18882 (1999 YN4),18882,,,Y,N,16.0,,,,,,,,,,,,,,,S,,,,JPL 206,2459000.5,59000,20200531.0000000,J2000,0.2317139045849670,1.685186493329330,1.294705351006150,36.81675529770770,291.6993126982680,242.6572270856250,49.00224858969880,2.075667635652520,0.4505387185450300,2458891.736320940000,20200212.2363209,799.0434233101740,2.18766166546249,0.431637,167.98017129,3.22737,3.974,6.5159E-08,6.8566E-09,1.0783E-07,1.2137E-05,9.1975E-06,2.1067E-05,1.9295E-05,8.4454E-09,2.7497E-09,4.2657E-05,4.8767E-06,AMO,Otto Matic,24329,1954-01-04,2020-08-14,902,,,0,0.45468,,,,,
a0019356,2019356,19356 (1997 GH3),19356,,,Y,N,16.8,,,,,,,0.91,,0.34,6.714,,,,,S,,,,JPL 97,2459000.5,59000,20200531.0000000,J2000,0.5626304846504830,2.50251172680436,1.094522341108910,3.003666603116260,186.7010122262870,333.8510763523890,317.1590164216130,3.910501112499810,0.2489659141284110,2459172.575698510000,20201119.0756985,1445.981074398480,3.95888042272,0.105457,41.04070069,1.09385,3.224,3.2433E-08,1.1145E-08,8.1315E-08,5.6534E-06,7.153E-05,7.1732E-05,1.3487E-05,1.7416E-08,1.6632E-09,5.5313E-05,9.6598E-06,AMO,Otto Matic,10163,1992-11-02,2020-08-30,642,,,0,0.5673,,,,,
a0019764,2019764,19764 (2000 NF5),19764,,,Y,N,15.9,,,,,,,1.572,,0.342,59.3,,,,,,,,0.071,JPL 277,2459000.5,59000,20200531.0000000,J2000,0.4433097602244170,2.233007827079800,1.243093662677810,1.326531174923180,281.5164462976230,9.549491636402350,354.3491407827560,3.222921991481790,0.2953715798219140,2459019.631357260000,20200619.1313573,1218.803786799840,3.33690290704953,0.22689,88.2987813,1.99375,3.504,3.3676E-08,3.878E-09,7.5692E-08,3.4388E-06,0.00016965,0.00016975,4.4421E-06,5.5972E-09,7.6945E-10,1.5037E-05,3.175E-06,AMO,Otto Matic,10969,1990-08-28,2020-09-08,1930,,,0,0.36658,,,,,
a0020086,2020086,20086 (1994 LW),20086,,,Y,N,16.7,,,,,,,,,,,,,,,,,,,JPL 80,2459000.5,59000,20200531.0000000,J2000,0.6232209102202460,3.184475248271830,1.199843685470020,21.77536190355770,237.2183194969860,57.89307102762070,198.4891191908340,5.169106811073640,0.1734391983252090,2459931.724788680000,20221218.2247887,2075.655350556780,5.68283463533685,0.317832,123.69067944,1.15047,2.770,4.5788E-08,2.6754E-08,1.4435E-07,1.4904E-05,1.9093E-05,2.4432E-05,4.7399E-06,4.3428E-08,2.1857E-09,3.6479E-05,2.6158E-05,AMO,Otto Matic,8618,1994-06-03,2018-01-06,506,,,0,0.53253,,,,,
a0020236,2020236,20236 (1998 BZ7),20236,,,Y,N,17.6,,,,,,,,,,10.182,,,,,,,,,JPL 35,2459000.5,59000,20200531.0000000,J2000,0.5588220311871050,2.035917627687180,0.8982020036533970,6.501435612194380,111.5035467450380,104.2338326398200,219.8174172818980,3.173633251720960,0.3392843049108580,2459413.671433780000,20210718.1714338,1061.057039153590,2.90501584983872,0.0523007,20.353863419,1.833,3.587,7.0252E-08,2.6386E-08,1.3746E-07,7.9416E-06,6.2382E-05,6.8383E-05,5.8536E-05,4.1131E-08,6.5959E-09,0.00018055,2.0628E-05,APO,Otto Matic,7916,1998-01-24,2019-09-27,317,,,0,0.50537,,,,,
