pdes,name,pha,diameter
142781,,N,1.595
143381,,N,
143404,,Y,
143409,,N,
143487,,Y,
143527,,N,
143624,,N,2.137
143637,,N,
143643,,N,
143649,,Y,
143651,,Y,
143678,,N,
143947,,N,
143992,,Y,
144332,,Y,
144411,,N,
144861,,N,
144898,,Y,
144900,,Y,
144901,,N,2.240
144922,,N,
145656,,N,
152558,,N,1.4
152560,,Y,
152561,,Y,
152563,,N,0.272
152564,,N,0.282
152575,,N,
152637,,Y,
152664,,Y,
152667,,N,
152671,,Y,0.298
152679,,N,4.167
152680,,Y,
152685,,Y,
152742,,N,0.413
152754,,Y,0.414
152756,,N,
152770,,Y,
152787,,N,
152828,,Y,
152889,,N,1.022
152895,,N,
152931,,N,1.646
152941,,N,0.820
152942,,N,
152952,,N,0.776
152964,,N,0.788
152978,,Y,0.531
153002,,Y,
153195,,N,1.327
153201,,Y,0.510
153219,,N,1.289
153220,,Y,
153243,,N,
153249,,N,3.160
153267,,N,
153271,,N,2.441
153306,,N,
153311,,Y,
153315,,N,
153349,,N,
153415,,N,
153460,,N,
153591,,N,2
153792,,N,
153814,,Y,0.932
153842,,N,1.759
153951,,N,
153953,,N,
153957,,N,
153958,,Y,
154007,,N,
154019,,Y,
154020,,N,
154029,,N,1.119
154035,,N,1.098
154144,,N,
154229,,N,
154244,,N,
154268,,N,
154269,,Y,
154275,,Y,
154276,,Y,1.060
154278,,N,
154300,,N,
154302,,Y,
154330,,Y,
154347,,N,
154453,,N,
154555,,N,
154589,,N,1.109
154590,,Y,0.086
154631,,N,
154652,,N,
154656,,N,
154658,,N,
154715,,N,
154807,,N,0.469
154988,,N,
154991,Vinciguerra,N,
154993,,N,0.828
155110,,N,0.683
155140,,N,
155334,,N,
155336,,N,
155338,,Y,
155340,,N,
155341,,N,
159399,,N,
159402,,N,
159454,,N,0.577
159459,,N,1.769
159467,,N,
159495,,N,
159504,,Y,2.324
159518,,N,1.784
159533,,N,
159555,,N,
159560,,N,1.156
159608,,N,
159609,,N,
159635,,N,
159677,,N,
159686,,N,1.845
159699,,N,
159856,,N,
159857,,Y,3.070
159923,,N,
159928,,N,
159929,,N,2.620
161989,Cacus,Y,1.9
161995,,N,
161998,,N,
161999,,N,0.458
162000,,Y,0.4
162004,,N,
162011,Konnohmaru,N,
162015,,N,
162038,,N,1.959
162039,,Y,
162058,,N,0.847
162063,,N,
162080,,N,0.777
162082,,Y,
162116,,Y,0.538
162117,,N,
162120,,Y,
162142,,N,0.462
162149,,N,
162157,,N,
162161,,N,
162162,,Y,
162168,,N,
162173,Ryugu,Y,
162181,,N,0.729
162183,,Y,
162186,,N,
162195,,N,
162196,,N,
162210,,Y,
162214,,N,
162215,,N,
162269,,N,1.010
162273,,N,
162361,,Y,
162385,,N,0.812
162416,,Y,
162421,,Y,
162422,,Y,
162433,,N,
162452,,N,
162463,,N,1.048
162470,,N,
162472,,N,
162474,,Y,
162483,,N,0.906
162510,,Y,1.406
162566,,N,4.299
162567,,Y,0.335
162581,,N,
162635,,N,
162679,,N,
162687,,Y,
162694,,N,
162695,,Y,
162698,,N,
162723,,N,
162740,,N,
162741,,N,3.945
162781,,N,
162783,,Y,
162825,,Y,
162854,,N,
162873,,N,
162882,,Y,
162900,,N,
162903,,N,1.086
162911,,N,
162913,,N,
162922,,Y,
162926,,N,
162979,,Y,
162980,,N,0.790
162998,,Y,0.875
163000,,N,
163001,,N,
163014,,Y,
163015,,N,
163023,,N,
163026,,Y,
163051,,Y,
163067,,Y,
163070,,N,
163081,,N,
163132,,Y,0.460
163191,,N,
163243,,Y,1.682
163249,,Y,
163250,,N,
163252,,N,
163295,,N,
163335,,N,
163348,,Y,0.735
163364,,Y,
163373,,Y,
163412,,N,
163454,,N,0.712
163667,,N,
163679,,N,
163683,,Y,
163691,,N,3.449
163692,,N,
163693,Atira,N,
163694,,N,0.832
163696,,N,
163697,,Y,
163732,,N,
163758,,N,
163760,,N,2.343
163818,,Y,0.386
163899,,Y,0.791
163902,,N,
164120,,N,
164121,,Y,1.717
164184,,N,
164201,,N,
164202,,Y,
164206,,N,1.138
164207,,Y,0.163
164211,,Y,
164214,,N,
164215,Doloreshill,N,
164216,,Y,
164217,,N,
164221,,N,
164222,,N,
164294,,N,
164341,,N,
164342,,N,
164400,,Y,
168044,,N,
168318,,Y,0.9
168378,,N,0.841
168791,,N,
169352,,N,0.316
169675,,N,
170013,,N,
170086,,Y,
170502,,N,
170891,,N,
170903,,Y,
171486,,N,
171576,,Y,
171819,,N,
171839,,Y,
172034,,N,0.631
172678,,Y,
172718,,N,
172722,,N,
172974,,N,
173232,,N,
173561,,Y,
173664,,N,
173689,,N,0.724
174050,,N,
174806,,N,
174881,,N,
175114,,N,
175189,,N,
175706,,Y,1.196
175729,,Y,
175921,,N,1.039
177016,,N,
177049,,Y,
177255,,N,
177614,,Y,
177651,,N,
178601,,N,
178871,,N,
179806,,Y,
180186,,Y,
183548,,N,
184266,,Y,
184990,,N,2.039
185702,,N,
185716,,N,0.629
185851,,Y,0.863
185853,,N,
186822,,N,
186823,,N,
186844,,Y,
187026,,N,
187040,,Y,0.430
188174,,N,
188452,,N,
189008,,N,
189011,Ogmios,N,
189040,,Y,
189058,,N,
189062,,N,
189173,,N,
189263,,N,
189552,,N,
189630,,N,
189700,,N,
189865,,Y,
189973,,N,
190119,,N,1.451
190135,,N,
190161,,N,3.041
190166,,N,1.045
190208,,N,
190491,,N,
190758,,N,
190788,,N,
191094,,N,
192559,,Y,
192563,,Y,
192642,,Y,
193178,,N,
194006,,Y,
194126,,N,
194268,,Y,1.244
194386,,N,0.916
196068,,Y,
196256,,N,
196625,,Y,
197588,,Y,
198752,,N,
198856,,N,0.742
199003,,Y,
199145,,Y,
199801,,Y,
200754,,N,0.553
200840,,Y,
202411,,N,
202435,,N,
202683,,Y,
203015,,N,
203217,,N,
203471,,N,
204131,,N,
204232,,N,
205378,,N,
205388,,N,
205744,,Y,
206359,,N,
206378,,Y,0.376
206910,,Y,
207398,,Y,
207945,,Y,0.423
207970,,N,
208023,,Y,
208115,,Y,
208565,,N,
208617,,N,
209215,,N,
209924,,N,1.861
210012,,N,
211871,,N,0.411
211914,,N,
212359,,N,1.261
212546,,Y,
213053,,N,
213869,,N,
214088,,N,2.423
214869,,Y,
215167,,N,
215188,,N,
215442,,N,1.075
215588,,Y,0.488
215757,,N,0.780
216115,,Y,
216258,,Y,
216523,,Y,
216707,,N,
216985,,Y,
217013,,N,
217390,,N,
217430,,Y,
217628,Lugh,Y,1.4
217796,,N,
217807,,N,
217837,,N,
218017,,N,0.451
218863,,N,1.237
219021,,N,
219071,,N,0.657
219527,,N,
220124,,N,0.609
220839,,Y,
220909,,N,
221455,,Y,
221787,,N,
221980,,Y,0.432
222008,,N,
222073,,N,
222165,,N,
222869,,N,
223456,,N,
224926,,N,
225312,,N,
225416,,N,1.651
225586,,N,
225900,,N,
226198,,N,
226219,,N,
226514,,Y,
226554,,Y,0.482
228368,,Y,
228502,,N,0.302
228587,,N,
229007,,N,
229672,,N,
230089,,N,
230111,,Y,
230118,,N,1.166
230420,,N,
230549,,Y,0.217
230599,,N,
230979,,N,1.522
231134,,N,
231792,,N,
231937,,Y,
232368,,N,
232382,,N,1.123
232691,,Y,
234061,,N,2.900
234145,,Y,0.344
234341,,N,0.344
235086,,N,1.024
235700,,N,
235756,,Y,1.136
236716,,N,
237442,,N,
237551,,N,0.630
237805,,N,0.703
238063,,N,1.470
238456,,N,0.328
239849,,N,0.450
240320,,N,
241370,,N,0.764
241596,,N,1.548
241662,,N,0.898
242147,,N,1.687
242187,,N,0.605
242191,,N,0.370
242211,,N,
242216,,Y,
242450,,Y,2.914
242643,,Y,1.989
242708,,Y,
243025,,N,2.123
243147,,N,0.912
243298,,N,
243566,,Y,0.881
244670,,N,
244977,,Y,0.495
246138,,N,0.588
247156,,N,1.655
247360,,Y,
247517,,N,0.269
248083,,N,2.358
248590,,N,4.726
248818,,N,
248926,,N,2.907
249595,,N,
249615,,N,
249816,,N,
249886,,N,1.201
250162,,N,
250458,,N,0.630
250577,,N,
250614,,N,1.617
250620,,Y,0.654
250680,,Y,0.398
250697,,N,
250706,,Y,0.535
251346,,Y,
251722,,Y,
251732,,N,
252091,,N,
252373,,N,
252399,,Y,0.291
252558,,N,0.533
252793,,N,
253062,,N,
253106,,N,
253586,,N,
253841,,Y,
254417,,N,
254419,,N,0.629
255071,,Y,
255501,,N,
256004,,N,
256412,,N,4.444
256670,,N,
257744,,N,
257838,,N,
258325,,N,
259221,,N,
259802,,N,
260141,,Y,
260277,,N,0.470
261938,,N,
262623,,N,0.761
263976,,Y,0.785
264308,,N,
264357,,Y,0.113
264993,,Y,
265032,,N,
265187,,N,
265196,,Y,0.361
265482,,Y,
265661,,N,
265962,,N,
267131,,Y,
267136,,N,
267221,,Y,0.562
267223,,N,
267270,,N,
267337,,Y,0.439
267494,,Y,
267720,,Y,
267729,,Y,
267759,,N,
267940,,N,
269690,,Y,0.888
271480,,N,0.709
274138,,N,0.747
274855,,N,
275545,,N,
275558,,N,
275611,,N,1.483
275677,,Y,
275714,,N,
275792,,N,
275974,,N,0.626
275975,,N,
275976,,N,2.381
276033,,Y,
276049,,N,3.5
276111,,N,
276274,,N,1.528
276392,,N,
276397,,N,
276409,,N,
276468,,N,1.034
276660,,N,
276703,,N,0.521
276732,,N,
276770,,N,
276786,,N,1.720
276891,,N,
277039,,N,0.676
277127,,N,
277142,,N,
277279,,N,
277473,,N,
277475,,Y,
277570,,Y,0.439
277616,,N,1.236
277617,,N,0.666
277810,,N,
277830,,N,
277958,,N,
278327,,N,
278381,,N,
279744,,Y,
279816,,Y,
280136,,N,
280244,,N,
280491,,N,
281070,,N,
281365,,N,
281375,,Y,
